user_id,user_name,tweet_id,tweet_text
1414612180897390592,Lovelyhost,1532526678819635200,$80 giveaway  || 6 hours\n(2 winners - $40 each) \n\n➡️ Rt &amp; follow me w/ notifs🔔 on\n\nREROLL
2355515174,LandenNFT,1524633239398330372,🚨 MINT  IS TOMORROW 🚨\n🎁 #NFTGiveaway🎁\n🏆Prize\n- 1x $100 USDC\n\nTrain your 👨🏻‍🍳+🐀 NFTs like a tamagotchi to maximize your reward!\n\nTo Enter:\n✅ Follow  @RatAlertNFT\n✅ Like + RT + Tag 3 friends\n⭐️ Bonus: Join https://t.co/xcjSfvrDMF \n\n⏰ 24hrs 🔔 ON\n\n#NFT #NFTCommunity #P2E https://t.co/cgKRifZiP0
1365733567527968768,Cryptoishaz,1535639972526837761,$50 in 24 hours\n\n√ RT + Follow @Crypto_QueenBit\n\n√ RT/Like &amp; Comment on their 📌
1190109332613894147,CryptoGod1101,1501009738464649226,$50 in 4 hours 🌥️☔️💨\n\n-RT + follow\n\n@IpekSamurai + @Hunter_samurai1
910170146,furrincrypto,1535536038369796098,$50 | 700K ~ 12 HOURS 🏜️\n\n-RT &amp; Follow @pnsc420 + Like 📌
1361238602533859378,resaalfny,1535448415555174400,$15 | 210K ~ 2 HOURS\n\n— RT &amp; RT Like comment on https://t.co/4Ieb2Jr1cM 📌
1396838273004285957,necuritynft,1535470084889747456,$200 | 2.900.000 IDR💰• 24 HRS\n\n• rt, like &amp; follow me (🔔)
1450103134173351939,kloogives,1535589142565752833,$20 | 280.000 IDR in 10HOURS\n\nRT &amp; follow @ChrisSpinsSlots
2971014432,NFTCheerios,1511092845112877061,🔴BEANZ Giveaway 🔴\n\nI'm giving away 1 NFT from @AzukiOfficial new BEANZ collection (worth over $20,000) that I got airdropped!\n\nTo enter:\n1️⃣ Follow @NFTCheerios \n2️⃣ RT &amp; Like\n3️⃣ Tag 3 friends\n\nWinners picked in 72 hours.\n\n#NFTCommunity #NFTGiveaway #NFT https://t.co/0voBEcb7oO
404266277,JpegHoki,1532773669864210432,24 WL Spots in 24 Hours  | Follow, Retweet &amp; Tag your friends 🔥⛩️🔥\n\nDiscord Open for next 24 hours ⏰ ( https://t.co/GLUs5IwQAW )\n\n#NFTs #SolanaNFTs #Solana https://t.co/y5VKKOZy4p
1074501767637950469,FinalAyyMG,1535532279551909889,$100 Giveaway | 24 Hours\n\n• Retweet &amp; Follow @SarahPromotions w/ 🔔
1387477231535001600,Roostergives,1535479619247345668,$250 | 3.500.000 IDR | 48 HOURS\n\n($100)\n- RT &amp; Follow @stake_share\n\n(+$150 Bonus)\n- Join Discord (Post Proof)\nhttps://t.co/kioAlUHNH0
1475972574244966404,Prodigyko,1484268864296919052,$1000 and 20 WL slots for guessing the profession of Ailoverse robot shown on the GIF\n\n🤑 20 Winners \nResults in 48 hours🚀\n\n1️⃣ Share your guess in the comments\n2️⃣ ❤️ &amp; RT this and pin post\n3️⃣ Join Discord https://t.co/qqA2iUrOy1 and send your comment link to #Twitter-proof https://t.co/iljfRnpfAF
1355493706070159366,Vieweity,1534869574386335744,🎁Astronix 150$ giveaway🎁\n\nTo participate:\n1️⃣Follow @astronix_online\n2️⃣Join our Discord server - https://t.co/jWbqafX9fo\n3️⃣Retweet this giveaway post\n4️⃣Tag at least 3 friends in comments!\n\n🏆3 people will receive $50 each\n⌛48 hours \n\n#Astronix #Giveaway #NFT #Cryptogiveaway https://t.co/IhFBWcmMir
1347140802577788928,princesspromos_,1535471022719107072,$50 • 700K | 4 HOURS\n\nRT + RT Like Comment on @kippoverse 📌
395004842,FacuMazzei,1515452734555627520,🎁 1 NFT + 3 Free Mint 🎁\n\nRules:\n1️⃣ Follow @MasqueradeNFT_ &amp; @90BE90\n2️⃣ ❤️ &amp; RT\n3️⃣ Tag 2 Friends\n\n🎭 Community-driven 3,333 NFTs Creating New MASK Generation within the Metaverse. | Stealth Launch\n\n⏰ 48 Hours!\n \n#NFTGiveaways https://t.co/JUWdGXrXgy
93431411,LinShungNFT,1501649273322188809,💫The first interactive anime NFT project @Hyper_S_Humans 💫 \n\n48-hour $50 giveaway \n\nTo be eligible:\n✅Follow @Hyper_S_Humans + @johndrummond89\n✅Like and RT \n✅Tag 3 squad members\n✅Join their discord https://t.co/Z4F6mUOXBW\n\nCloses in 48 hours! GL! https://t.co/LKNlf61Xf6
495249214,peterhuntcrypto,1534906399813439488,Is it only me or does anyone else think the token distribution and vesting plan for $COL is really cool?\n\n$100 in 24 hours ⛅️🦋\n\n1️⃣Follow @LilliputGames\n2️⃣Like+RT+Tag 3 Friends\n3️⃣Join TG https://t.co/Ygj0Vt8H1H &amp; Say the best thing about #Lilliput\n\n#Giveaways #Crypto #token https://t.co/IfQ5P8AHqO
158022096,cryto_billy,1523316944299970560,$100 ~ 24 Hours\n\n✅ Rt &amp; follow @PharaGods + \n      Rt + like their pin📌 https://t.co/JJPXh6OoJM
336957898,dexynft,1524675465864257536,$50 in 24 hours like and RT https://t.co/9PkA5p9dhO
1446933664214884353,MADMarketingX,1529789128585388032,I’ll give $150 to one person in 24 hrs\n\n- RT &amp; Follow | @CoinTigerEX\n- RT 📌
1112049198529015808,jackerscrypto,1535534054233329670,$20 | 280.000 IDR IN 3HOURS🍎\n\n~ rt, like &amp; follow\n\nhttps://t.co/sEpMAzdazs\n\nhttps://t.co/cqdTajvvKT
204513061,NFTSebastian,1519391478136684546,🎉GIVEAWAY🎉\n\nPrize:\n🏆$90 $SOL\n\n1⃣Follow @NFTSebastian \n2⃣Retweet and Like\n3⃣Tag 1 Friend\n\n🎯BONUS ENTRY!: Turn NOTIS ON\n\nEnds in 24 HOURS\n\n#Solana  #SolanaGiveaway #NFTGiveaway #NOTISQUAD #SOL
915333690950946816,MartyBrown_C,1515393063027359744,$100 GIVEAWAY IN 24 HOURS\n\n- RT &amp; Follow @HangoutMeta + RT 📌
323032855,iCryptoFran,1534003935194714112,$100 in 12 Hours 🔥\n\nRT &amp; Follow me 🔔
1308153754215092224,Unananaa_,1535484557872377856,🍉Giveaway $50 || 680.000 IDR\n\n$25\n✅ RT + Follow @Pulse_Protocol\n\n$25\n✅ Join Discord (post proof)\nhttps://t.co/RutTLCYUJE\n\nEnd in 24 hours 🚀\nGoodluck 🤩 https://t.co/ZzkCpHaNsY
1320291125735780353,CryptoKanyee,1478773408276140040,🦜Jeet the Parakeet \n\n🚨Presale sold out in less than 24 hours \n\nStarting Mcap: $250k\n\n💰 BNB Rewards token that puts the community first\n🙅🏾‍♂️ No team tokens\n🏦 Real world experience building businesses \n\nTelegram: https://t.co/SnXVNw3sLI\n@jeetparakeet https://t.co/vpsPJmgZF6
913840362044747776,Natty_Crypto,1522391312905150464,🔥#GIVEAWAY 🔥\n\nGot an amazing #NFT for you all to get in early on and win big!!! 🤑 \n\nRewards:\n💰 1x $50 of #ETH\n🌙 10x WL SPOTS! (Aka Lunarpasses) \n\nTo Enter:\n✅ Follow @MidnightcityNFT\n✅❤️ + Retweet\n✅Tag 3 Friends \n\n🚀Join Discord: https://t.co/lskxEq2fof\n\n⏱24Hrs \n\n#Web3 https://t.co/xBvJKENf9d
698426028251676672,amangkings,1496058346797154307,Give Away $10 || 140K || Gcash || 24 Hours\n\n- Follow @neolandgame \n- RT + join https://t.co/CEX3Kn4QuP (proof no crop) \n\nGoodluck 🎩
1338696962627923968,YnahGives,1535523450369912832,$50 GIVEAWAY\n\n— RT + Follow @zbb_eth \n\nends in 18hrs
1453177737007583235,JukeNFT,1531422562147880965,🚨#NFT + #ETH GIVEAWAY🚨\n\nTo celebrate breaking 10k followers, we're giving away 1 of our Genesis NFTs and $100 in ETH!\n\nTotal Value: ~$400\n\nTo enter raffle🔽\n1⃣Follow @BodegaBlocksNFT \n2⃣❤️ + RT\n3⃣Tag 3 Friends!\n\nWinners announced in 72 hours ⏲️\n\n#NFTs #NFTCommunity #NFTGiveaway https://t.co/RbBlqiOKnh
955190844,CryptoArch1tect,1535550340228993029,$75 Giving in 12 HOURS \n\nRT &amp; Claim 35 Bitmex token for free by Completing tasks below👇\n\n1. Join https://t.co/aeJA5Y9gip\n2. Do KYC on bitmex \n3. Make single transaction on bitmex (spot or futures) for over 250$
3784267347,CactusNFT_,1509246274444226560,🎉 HRAC NFT GIVEAWAY!  🎉\n\nWhat we’re giving away 👇\n- x1 NFT ($270) \n- $125 in #ETH 💵\n\n1⃣ - Follow @HighRollerApes  \n2⃣ - Like + Retweet\n3⃣ - join https://t.co/g3sQDZUVPP and say hi\n\nWinners announced in 48 hrs 💙\n\n#NFT #NFTGiveaway #ad https://t.co/8f0grcXdZV
104060463,MadSkyX,1529789146834694144,I’ll give $150 to one person in 24 hrs\n\n- RT &amp; Follow | @CoinTigerEX\n- RT 📌
1155120696,SouthernDeFi,1534977461619924992,$150 | 24 Hours\n\n$75 ~ RT + Follow @0xHashstack + RT their 📌\n\n$75 ~  Join Discord {#PostProof}\nhttps://t.co/uRkUeNhL8g\n\n#crypto $btc $bnb $cash https://t.co/yMPcDSCi0f
1295358300725235712,CryptoBrace,1535587954240135169,🎁$3500 - Giveaway | 24 HOURS🥳!\n\n1️⃣ Follow @Lifestory_App &amp; RT\n2️⃣ Tag 3 friends in the comments\n3️⃣ Follow the participation link⬇️\n👉https://t.co/1MTxWYH26w\n(we verify)\n\n🔴 To increase your chances by x10, check comments below\n#NFTmint #NFTutility #NFTMetaverse #NFT #NFTGIVEAWAY https://t.co/MYU9o1syOr
1072139057986039808,cryptovenizo,1475839131087343625,Giveaway $75 or 1Jt in 24hrs\n\n|| Retweet + Follow @defi_farmers\n|| Retweet their 📌\n\nTag 3 friends 🎈
1459489986076504068,cloudgemz,1535598073874853888,$200 | 2.800.000 IDR | 48 Hours\n\n☁️ $100 - RT + Follow  @Apeone_nft \n\n💫 BONUS $100 - Join Discord  (+Proof)\n\nhttps://t.co/C3JZC4lsIP https://t.co/fzKNyGMNRR
1438563620334440449,_CRYPTO_RAPTORS,1520308590803779584,🎉GIVEAWAY🎉\n\nPrize\n🏆$50 (.50 $SOL)\n\n1⃣Follow @CryptoFrogz &amp; @sol_giveaways \n2⃣Retweet &amp; like\n3⃣Tag 3 Friends\n\n🎯BONUS ENTRY - Turn NOTIS ON!\n\nEnds in 24 hours\n\n#Solana #SolanaGiveaways #NFTGiveaway https://t.co/J8tMpQdek1
806442732,borgchain,1490605501625024514,🔥#NFTGIVEAWAY🔥\n\n🤑 $10,000 \n💎 5x #NFTs \n✔️ 10 Whitelist Spots\n\n1️⃣ Follow @HAVE_NFT &amp; @borgchain\n2️⃣ RT\n3️⃣ Tag 3 Friends\n \nEnds in 48 hours ⏰\n\nhttps://t.co/UgCEefpUzT\n\n✅️ Fill out Whitelist form: https://t.co/8rCpbMegjx…\n\n#NFTdrop #NFTpresale https://t.co/U3AtC4Ubd7
988666704203935745,kyoongbh_,1535594464882098176,$15 | 210.000 IDR ➜ 2HOURS ⌛\n\nRT Like &amp; Follow @AirDropBotPro, RT 📌
407108565,dogespromote,1534973032715849729,$50 in 6 Hours  Only \n\n- Rt This  \n- Complete task in quoted tweet https://t.co/LQghhg7eOn
1421109889418424323,kuyawat,1535486760285011969,$100 || 1.4 JT in 24 Hours\n\n- RT &amp; Follow @_TheSilentOnes_\n______________________________________\n#TheSilentOnes #SolanaNFT #NFT #NFTCommunity https://t.co/6Io8j7IZKM
1377683239310090250,Kripto_Crab,1532965811681386500,$10 ~ 12 Hours\n\n✅ RT &amp; Follow @Kripto_Crab + 🔔\n✅ Tag 2 Friends
1431926404543758341,TartUniverse,1533933245892395008,$200 GIVEAWAY ~ 48 HOURS ⏳\n\n- RT &amp; Join Telegram (post proof)\n\nhttps://t.co/hGq1bddXTh \n\n⚠️ Must click "Let me in!" ⚠️ https://t.co/xC14clfy5G
33827636,2021gemtoken,1530915448489136128,DeGods Giveaway - 450 SOL / $19,872\n\nGiving Away 1 @DeGodsNFT NFT to one Lucky Person in 48 Hours\n\nRules:\n\n1⃣Follow @nonfacs &amp; @DeGodsNFT\n2⃣Like +Retweet\n3⃣Tag 3 Friends \n\nGood Luck! #NFTGiveaway #NFT #DeGods #Solana https://t.co/hc4yG7XSzt
1352595166008209411,cryptosniper99,1513133420410511368,$150 | 2.100.000 IDR\n\n~ Retweet &amp; Follow @AxieLima \n\nEnds in 24HOURS🕊
1393818670531452929,TheNFT_World,1521056375383547904,HUGE NFT GIVEAWAY 🎁✨\n\nI am giving away ONE Otherside Deed worth 5 ETH ($15,000+) 💥\n\nTo Enter:\n- Follow @0xChougs \n- Like and RT \n- Tag friends \n\nWinner chosen in 48 hours.. Good luck 🍀 \n\n#Otherside #NFTCommunity #NFTGiveaways #NFTGiveaway #OthersideLand https://t.co/CARyLUkDxK
1393534606125592577,sereingives,1528988781579079680,$30 | 420K IDR • 12 HRS 🔥\n\n- RT &amp; follow @SagaWorldToken \n- like &amp; retweet the quoted 👇🏻\n\nSAGAW is the next 100x token #SagaW  #Sagaworldtoken #Bitcoin #Bitrue #Binance #BNB https://t.co/eFj5snYShi
1359678193268002817,GlobalNftCentre,1527501791243276289,🔥 Fuck it off Nft Whitelist Giveaway 🔥\nWe did it 🤘 partnership with @fuckitoffNFT 🎟️\n\nTo enter:\n▫️ Follow \n👉 @fuckitoffNFT\n👉 @GlobalNftCentre\n\n▫️ RT + Like❤️\n\n🕖 | 24 hours! GL 🍀\n\n#NFTGiveaway #NFTs https://t.co/nFe3mNRF66
7173232,crypto_bearr,1535536057365975041,$200 || 2,8 JT  in 48 hours ⌛️🍕\n\n$100\n• RT &amp; Follow @Bybit_Official\n\n+$100\n•• RT Quote below 👇 https://t.co/TXH5gbzg24
3021015037,TariCrypto,1515785054340980737,🏆Daily #NFTGIVEAWAY #3🏆\n\nPrize Pool 🎁\n1x DragonBlast ($30)\n1x Baingia #43 ($150)\n1x WeirdCryptoApe ($15)\n\nRules:\n1⃣ Must Follow ME and All Homies\n@metazukii\n@hypnomedusa\n@SArtophobia\n2⃣ ♥️ &amp; Rt\n3⃣Tag Frenz\n\nWinners in 24hrs ⏰\n\n💀💀Hit the🔔more heat incoming 💀💀 https://t.co/x9R7fG95Cr
1173763184777486338,cryptohomii,1496956695624486920,Top #Fantom Token by Transaction Count Last 24 Hours🚀\n\n$SOLID @solidlyexchange 🎉\n$TOMB @tombfinance \n$2OMB @_2omb \n$BEETS @beethoven_x \n$HAUNT @cemeteryfinance \n$BASED @BasedFinance_io \n$BOO @SpookySwap \n$METEOR @CometFinance88 \n$PSHARE @PartialFinance \n$WIGO @WigoSwap 🔥\n\n#FTM https://t.co/BWwsSzmjdo
250196976,JessieCrypt0,1533696989136838658,🚨 $1,000 + Free mint GIVEAWAY 🚨\n\nI've partnered with @assplosionwtf to giveaway $1,000 and 10 free mints to celebrate their free mint in 48 hours. How to enter⬇️\n\n1⃣ Follow @assplosionwtf \n\n2⃣ Like + retweet this post\n\n3⃣ Tag a friend\n#NFT #Freemint #NFTCommunity #NFTGiveaway https://t.co/kvOBsv3ybx
2360235764,shiepromotes,1532852015822299136,$30 GIVEAWAY ~ 6 HOURS\n\n- RT &amp; Join TG (+Proof)\nhttps://t.co/XoWu5eB7i4
1430978480,PacificETH,1531075716564979718,Mint in under 48hours!\n\nHere's a quick look at our final partners of Senshi, alongside many more! \n\n5 WL | Follow, Like &amp; RT 🌸 https://t.co/uR5icZPWg9
1428688987259080704,Alphawolf_1_,1535530309592154112,$50 | 700.000 IDR • 6 HOURS 🌸\n\nRT &amp; Follow @ChrisSpinsSlots
2862991739,DrewPromos,1400455983395135488,$10 || one winner || 2 hours\n\nrt, follow @DrewPromos + 🔔
1403411186079735812,CryptoBoltx,1535190405658157058,$200 | 2,8 JT ~ 24 HOURS \n\n• RT &amp; Follow me (🔔)
208563834,MrNFTexpert,1513163339530076161,🚀 GIVEAWAY 🚀\n\nWe're giving away $5000 to one of our new discord members.\n\nTo Win:\n1️⃣ RT &amp; ❤️\n2️⃣ Join our discord: https://t.co/j8sNvWjEYl\n3️⃣ Reply using #AndromedaBusinessClub\n\n⏰ 24hrs ⏰\n\n#HoldToEarn #NFTCommunity #Giveaways https://t.co/PkO8xpsoZB
1361053678216515584,DefiGabbi,1535614260726104064,$100 ~ 24Hours\n\n- Rt &amp; Follow @_TheSilentOnes_ https://t.co/OBABAD1AUD
1491175808697872386,RJWGMI,1530492529015238658,1 Winner • 24 Hours ⏰ \n\n$300 | $ETH\n\nLike &amp; RT + Follow me w/🔔\n\nStay active and comment when done ✅
812104176,zenpromoter,1535502690234470400,$100 | 24 Hours\n\n- RT &amp; Follow Me !
1461324154381103112,missufe,1535532937151582208,$150 | 2.100.000 IDR in 24 Hours 🦄\n\n- RT &amp; Follow (Turn 🔔)\n\n@katherine_Promo + @GAContest_
1283643054050562048,CryptoLabX,1532706270792142848,150$ | 2,1 JT  ~ 48  hours 🧪\n\n~ RT &amp; Follow @protocol_open \n\n~ Join TG : https://t.co/8n4R3xlgkn (proof)
3368512093,CryptoToken_,1526524175166255104,$100 Giveaway with in 24 hours \n\nRetweet + Follow Me + 🔔
1394825277079834624,GawsStiph,1535544481038012416,🎁$3500 - Giveaway | 24 HOURS🥳!\n\n1️⃣ Follow @Lifestory_App &amp; RT\n2️⃣ Tag 3 friends in the comments\n3️⃣ Follow the participation link⬇️\n👉https://t.co/1MTxWYH26w\n(we verify)\n\n🔴 To increase your chances by x10, check comments below\n#NFTmint #NFTutility #NFTMetaverse #NFT #NFTGIVEAWAY https://t.co/MYU9o1syOr
1051128098802941952,CryptoRanger_,1489503673612972033,$100 | 24 Hours 👢\n\n-RT &amp; Follow Instagram👇 (Post Proof)\nhttps://t.co/0F7RzjQLhd https://t.co/nGyufB5bog
1412331353639587850,crypto_margo,1535427311545118722,$75 Giveaway | 48Hours\n\n✅ Rt &amp; Follow @cosmos_heroes +\n      Like &amp; RT their pin📌
1396801836053524489,KleitoNft,1533492148372398082,🚨 GIVEAWAY ALERT  🚨\n$100 to 5 lucky winners from @GBGHNFT \n\nTo enter: \nFollow: @GBGHNFT\nJoin Discord: https://t.co/b3DyaCIlzD\n\nLike + RT\n\nTag 3 friends (Every extra tag = additional entry) \n\nEnds in 48 hours \n#GiveawayUSDT #Giveaway #Airdrop https://t.co/V8pBXPkyjG
1212404678824038400,pakkrabbit,1519771033313685506,₱ 5000 || 4 hours\n\nRT + Like @TsuyoGenesis 📌
2503386737,crypto_pikachu1,1535546508438712320,$200 ll 2.800.000 IDR in 48 Hours \n\n$100 RT &amp; Follow @fabian_crypto + RT , Like 📌\n$100 Comment Game Related on Their 📌
1471464372757274626,ZaraPromotes,1535478640359661574,$250 | 3.500.000 IDR | 48 HOURS\n\n($100)\n- RT &amp; Follow @stake_share\n\n(+$150 Bonus)\n- Join Discord (Post Proof)\nhttps://t.co/kioAlUHNH0
